file,ddg,distance
4s0v_receptor_only_dc_aligned_Z966926156_12_0.pdb,-20.440168,2.3941449095405494
4s0v_receptor_only_dc_aligned_Z966926156_12_2.pdb,-20.019928,2.44558879869712
4s0v_receptor_only_dc_aligned_Z966926156_12_1.pdb,-19.375633,2.4624727900958017
4s0v_receptor_only_dc_aligned_Z966926156_13_0.pdb,-18.629177,2.0798613755282727
4s0v_receptor_only_dc_aligned_Z966926156_12_3.pdb,-18.537924,2.9869481395475277
4s0v_receptor_only_dc_aligned_Z966926156_4_3.pdb,-18.419153,3.762605360461397
4s0v_receptor_only_dc_aligned_Z966926156_11_4.pdb,-17.315331,2.8970991218650157
4s0v_receptor_only_dc_aligned_Z966926156_10_6.pdb,-17.236916,3.237171113471379
4s0v_receptor_only_dc_aligned_Z966926156_11_1.pdb,-16.939632,3.5022719243411036
4s0v_receptor_only_dc_aligned_Z966926156_10_8.pdb,-16.881827,3.2087161495773096
4s0v_receptor_only_dc_aligned_Z966926156_4_6.pdb,-16.876437,3.914620944518056
4s0v_receptor_only_dc_aligned_Z966926156_10_4.pdb,-16.690096,3.3784801681850616
4s0v_receptor_only_dc_aligned_Z966926156_10_3.pdb,-16.495125,3.926243027239323
4s0v_receptor_only_dc_aligned_Z966926156_2_1.pdb,-16.22334,4.58669456942861
4s0v_receptor_only_dc_aligned_Z966926156_11_0.pdb,-15.990105,3.2788179427744844
4s0v_receptor_only_dc_aligned_Z966926156_10_7.pdb,-15.936407,3.640601449117904
4s0v_receptor_only_dc_aligned_Z966926156_10_0.pdb,-15.842928,3.3169328630478137
4s0v_receptor_only_dc_aligned_Z966926156_10_5.pdb,-15.802316,3.6473562207517394
4s0v_receptor_only_dc_aligned_Z966926156_10_1.pdb,-15.573936,3.959862182180073
4s0v_receptor_only_dc_aligned_Z966926156_4_2.pdb,-15.518109,5.714235793133011
4s0v_receptor_only_dc_aligned_Z966926156_13_1.pdb,-15.488629,3.2643940173944626
4s0v_receptor_only_dc_aligned_Z966926156_13_3.pdb,-15.483245,1.9506072257148892
4s0v_receptor_only_dc_aligned_Z966926156_11_2.pdb,-15.324148,3.2240561700523247
4s0v_receptor_only_dc_aligned_Z966926156_10_2.pdb,-15.153953,3.0488994588279037
4s0v_receptor_only_dc_aligned_Z966926156_11_3.pdb,-15.079871,3.535757072429417
4s0v_receptor_only_dc_aligned_Z966926156_4_1.pdb,-14.796876,3.8869754188418737
4s0v_receptor_only_dc_aligned_Z966926156_2_2.pdb,-13.984153,6.352232885755743
4s0v_receptor_only_dc_aligned_Z966926156_4_4.pdb,-13.853808,4.116985808705706
4s0v_receptor_only_dc_aligned_Z966926156_8_0.pdb,-13.812646,3.194113784425501
4s0v_receptor_only_dc_aligned_Z966926156_11_5.pdb,-13.677633,3.7269535697929506
4s0v_receptor_only_dc_aligned_Z966926156_9_1.pdb,-13.439279,6.956027932920948
4s0v_receptor_only_dc_aligned_Z966926156_4_0.pdb,-13.419864,5.315918273060903
4s0v_receptor_only_dc_aligned_Z966926156_13_4.pdb,-12.930479,7.860775679272152
4s0v_receptor_only_dc_aligned_Z966926156_2_0.pdb,-12.857779,3.3387272346132795
4s0v_receptor_only_dc_aligned_Z966926156_9_0.pdb,-11.915732,2.0218497714602153
4s0v_receptor_only_dc_aligned_Z966926156_4_5.pdb,-11.656137,7.48126683421585
4s0v_receptor_only_dc_aligned_Z966926156_8_1.pdb,-11.618847,5.534804130054543
4s0v_receptor_only_dc_aligned_Z966926156_3_1.pdb,-11.181623,6.43842506404836
4s0v_receptor_only_dc_aligned_Z966926156_4_7.pdb,-10.882199,8.122828382043963
4s0v_receptor_only_dc_aligned_Z966926156_3_0.pdb,-10.83183,6.31481873526082
4s0v_receptor_only_dc_aligned_Z966926156_10_10.pdb,-10.469926,6.65820044197032
4s0v_receptor_only_dc_aligned_Z966926156_8_2.pdb,-9.965611,8.503004992633208
4s0v_receptor_only_dc_aligned_Z966926156_10_9.pdb,-9.90659,7.4376230337385785
4s0v_receptor_only_dc_aligned_Z966926156_13_2.pdb,-9.716737,3.180139189398641
4s0v_receptor_only_dc_aligned_Z966926156_2_3.pdb,-9.181286,7.558494530567842
